period,current,inf
2023 Q2,703,710
2023 Q1,694,708
2022 Q4,686,706
2022 Q3,677,704
2022 Q2,669,705
2022 Q1,660,712
2021 Q4,658,725
2021 Q3,662,746
2021 Q2,667,762
2021 Q1,662,771
2020 Q4,657,774
2020 Q3,653,773
2020 Q2,648,777
2020 Q1,643,763
2019 Q4,639,761
2019 Q3,635,762
2019 Q2,633,762
2019 Q1,630,764
2018 Q4,628,763
2018 Q3,626,764
2018 Q2,624,765
2018 Q1,621,766
2017 Q4,619,769
2017 Q3,617,772
2017 Q2,614,773
2017 Q1,611,770
2016 Q4,610,773
2016 Q3,608,776
2016 Q2,603,773
2016 Q1,599,774
2015 Q4,594,767
2015 Q3,590,762
2015 Q2,591,766
2015 Q1,590,770
2014 Q4,586,760
2014 Q3,586,758
2014 Q2,585,759
2014 Q1,586,764
2013 Q4,567,744
2013 Q3,509,670
2013 Q2,470,622
2013 Q1,466,616
2012 Q4,463,615
2012 Q3,459,613
2012 Q2,457,614
2012 Q1,456,614
2011 Q4,455,616
2011 Q3,455,618
2011 Q2,454,621
2011 Q1,453,627
2010 Q4,452,632
2010 Q3,450,634
2010 Q2,446,630
2010 Q1,443,626
2009 Q4,445,630
2009 Q3,448,639
2009 Q2,450,648
2009 Q1,455,658
2008 Q4,459,659
2008 Q3,461,647
2008 Q2,460,655
2008 Q1,458,661
2007 Q4,456,665
2007 Q3,453,669
2007 Q2,449,668
2007 Q1,445,669
2006 Q4,441,670
2006 Q3,439,664
2006 Q2,435,664
2006 Q1,431,664
2005 Q4,428,663
2005 Q3,427,667
2005 Q2,424,673
2005 Q1,422,674
2004 Q4,421,676
2004 Q3,421,683
2004 Q2,420,685
2004 Q1,418,688
2003 Q4,418,694
2003 Q3,419,697
2003 Q2,419,703
2003 Q1,418,700
2002 Q4,417,705
2002 Q3,417,710
2002 Q2,417,713
2002 Q1,415,716
2001 Q4,414,717
2001 Q3,412,713
2001 Q2,409,709
2001 Q1,404,706
2000 Q4,400,705
2000 Q3,396,702
2000 Q2,391,700
2000 Q1,385,696
