period,current,inf
2023 Q2,1285,1298
2023 Q1,1278,1303
2022 Q4,1267,1304
2022 Q3,1269,1319
2022 Q2,1229,1295
2022 Q1,1243,1341
2021 Q4,1144,1261
2021 Q3,1126,1268
2021 Q2,1114,1275
2021 Q1,1089,1269
2020 Q4,1066,1254
2020 Q3,1052,1247
2020 Q2,1046,1253
2020 Q1,1043,1238
2019 Q4,1040,1239
2019 Q3,1029,1234
2019 Q2,1020,1228
2019 Q1,1012,1226
2018 Q4,1001,1217
2018 Q3,990,1209
2018 Q2,985,1207
2018 Q1,979,1206
2017 Q4,972,1208
2017 Q3,966,1209
2017 Q2,963,1212
2017 Q1,962,1212
2016 Q4,958,1216
2016 Q3,953,1217
2016 Q2,953,1222
2016 Q1,946,1222
2015 Q4,946,1222
2015 Q3,941,1215
2015 Q2,938,1216
2015 Q1,932,1217
2014 Q4,928,1203
2014 Q3,927,1199
2014 Q2,925,1200
2014 Q1,923,1203
2013 Q4,919,1206
2013 Q3,916,1207
2013 Q2,915,1211
2013 Q1,912,1206
2012 Q4,908,1206
2012 Q3,904,1208
2012 Q2,901,1210
2012 Q1,899,1210
2011 Q4,898,1215
2011 Q3,896,1218
2011 Q2,894,1223
2011 Q1,892,1235
2010 Q4,890,1244
2010 Q3,885,1248
2010 Q2,877,1240
2010 Q1,872,1233
2009 Q4,876,1240
2009 Q3,881,1257
2009 Q2,887,1276
2009 Q1,895,1294
2008 Q4,903,1298
2008 Q3,907,1273
2008 Q2,905,1290
2008 Q1,901,1300
2007 Q4,897,1309
2007 Q3,892,1317
2007 Q2,884,1315
2007 Q1,875,1316
2006 Q4,869,1319
2006 Q3,864,1306
2006 Q2,857,1307
2006 Q1,849,1307
2005 Q4,843,1305
2005 Q3,840,1312
2005 Q2,835,1325
2005 Q1,831,1327
2004 Q4,829,1330
2004 Q3,828,1343
2004 Q2,826,1348
2004 Q1,823,1354
2003 Q4,823,1365
2003 Q3,824,1372
2003 Q2,824,1383
2003 Q1,822,1377
2002 Q4,820,1388
2002 Q3,820,1397
2002 Q2,820,1403
2002 Q1,817,1410
2001 Q4,815,1410
2001 Q3,812,1404
2001 Q2,805,1396
2001 Q1,796,1390
2000 Q4,787,1387
2000 Q3,778,1382
2000 Q2,769,1378
2000 Q1,759,1370
