period,vacancy
2023 Q3 QTD,0.027
2023 Q2,0.037
2023 Q1,0.067
2022 Q4,0.033
2022 Q3,0.026
2022 Q2,0.018
2022 Q1,0.012
2021 Q4,0.012
2021 Q3,0.015
2021 Q2,0.026
2021 Q1,0.037
2020 Q4,0.053
2020 Q3,0.067
2020 Q2,0.072
2020 Q1,0.042
2019 Q4,0.065
2019 Q3,0.060
2019 Q2,0.072
2019 Q1,0.087
2018 Q4,0.030
2018 Q3,0.024
2018 Q2,0.025
2018 Q1,0.035
2017 Q4,0.042
2017 Q3,0.035
2017 Q2,0.049
2017 Q1,0.054
2016 Q4,0.039
2016 Q3,0.051
2016 Q2,0.048
2016 Q1,0.060
2015 Q4,0.079
2015 Q3,0.103
2015 Q2,0.143
2015 Q1,0.066
2014 Q4,0.082
2014 Q3,0.102
2014 Q2,0.040
2014 Q1,0.041
2013 Q4,0.041
2013 Q3,0.041
2013 Q2,0.041
2013 Q1,0.041
2012 Q4,0.041
2012 Q3,0.040
2012 Q2,0.040
2012 Q1,0.039
2011 Q4,0.038
2011 Q3,0.038
2011 Q2,0.062
2011 Q1,0.075
2010 Q4,0.093
2010 Q3,0.119
2010 Q2,0.158
2010 Q1,0.215
2009 Q4,0.056
2009 Q3,0.055
2009 Q2,0.054
2009 Q1,0.054
2008 Q4,0.053
2008 Q3,0.053
2008 Q2,0.053
2008 Q1,0.052
2007 Q4,0.051
2007 Q3,0.050
2007 Q2,0.051
2007 Q1,0.051
2006 Q4,0.051
2006 Q3,0.052
2006 Q2,0.055
2006 Q1,0.056
2005 Q4,0.057
2005 Q3,0.058
2005 Q2,0.059
2005 Q1,0.059
2004 Q4,0.060
2004 Q3,0.061
2004 Q2,0.062
2004 Q1,0.062
2003 Q4,0.061
2003 Q3,0.059
2003 Q2,0.057
2003 Q1,0.056
2002 Q4,0.054
2002 Q3,0.053
2002 Q2,0.052
2002 Q1,0.052
2001 Q4,0.052
2001 Q3,0.052
2001 Q2,0.052
2001 Q1,0.052
2000 Q4,0.052
2000 Q3,0.052
2000 Q2,0.052
2000 Q1,0.052
