period,current,inf
2023 Q2,1041,1051
2023 Q1,1030,1050
2022 Q4,1015,1045
2022 Q3,1001,1041
2022 Q2,964,1016
2022 Q1,929,1002
2021 Q4,909,1002
2021 Q3,902,1016
2021 Q2,898,1027
2021 Q1,893,1040
2020 Q4,890,1048
2020 Q3,888,1053
2020 Q2,887,1063
2020 Q1,884,1049
2019 Q4,875,1042
2019 Q3,872,1046
2019 Q2,868,1045
2019 Q1,863,1047
2018 Q4,859,1044
2018 Q3,853,1041
2018 Q2,848,1040
2018 Q1,842,1038
2017 Q4,840,1043
2017 Q3,835,1046
2017 Q2,832,1047
2017 Q1,827,1042
2016 Q4,825,1047
2016 Q3,823,1051
2016 Q2,819,1051
2016 Q1,815,1053
2015 Q4,808,1043
2015 Q3,802,1036
2015 Q2,801,1038
2015 Q1,799,1043
2014 Q4,799,1036
2014 Q3,794,1028
2014 Q2,792,1027
2014 Q1,790,1029
2013 Q4,786,1032
2013 Q3,780,1026
2013 Q2,784,1038
2013 Q1,772,1020
2012 Q4,770,1022
2012 Q3,767,1025
2012 Q2,764,1026
2012 Q1,763,1026
2011 Q4,761,1030
2011 Q3,760,1033
2011 Q2,758,1037
2011 Q1,757,1047
2010 Q4,755,1055
2010 Q3,751,1058
2010 Q2,744,1051
2010 Q1,740,1045
2009 Q4,743,1051
2009 Q3,747,1066
2009 Q2,752,1082
2009 Q1,759,1098
2008 Q4,766,1100
2008 Q3,769,1080
2008 Q2,767,1094
2008 Q1,764,1103
2007 Q4,761,1110
2007 Q3,756,1117
2007 Q2,750,1115
2007 Q1,742,1116
2006 Q4,737,1118
2006 Q3,732,1107
2006 Q2,726,1109
2006 Q1,720,1108
2005 Q4,715,1107
2005 Q3,712,1112
2005 Q2,708,1123
2005 Q1,705,1125
2004 Q4,703,1128
2004 Q3,702,1139
2004 Q2,700,1143
2004 Q1,698,1148
2003 Q4,698,1158
2003 Q3,699,1164
2003 Q2,699,1173
2003 Q1,697,1168
2002 Q4,696,1177
2002 Q3,696,1184
2002 Q2,695,1190
2002 Q1,693,1196
2001 Q4,691,1196
2001 Q3,688,1190
2001 Q2,682,1184
2001 Q1,675,1179
2000 Q4,667,1176
2000 Q3,660,1172
2000 Q2,652,1168
2000 Q1,643,1162
