period,vacancy
2023 Q3 QTD,0.180
2023 Q2,0.225
2023 Q1,0.226
2022 Q4,0.015
2022 Q3,0.014
2022 Q2,0.053
2022 Q1,0.081
2021 Q4,0.012
2021 Q3,0.010
2021 Q2,0.010
2021 Q1,0.010
2020 Q4,0.012
2020 Q3,0.029
2020 Q2,0.064
2020 Q1,0.065
2019 Q4,0.092
2019 Q3,0.098
2019 Q2,0.023
2019 Q1,0.023
2018 Q4,0.024
2018 Q3,0.023
2018 Q2,0.024
2018 Q1,0.026
2017 Q4,0.028
2017 Q3,0.032
2017 Q2,0.031
2017 Q1,0.033
2016 Q4,0.035
2016 Q3,0.035
2016 Q2,0.033
2016 Q1,0.034
2015 Q4,0.033
2015 Q3,0.033
2015 Q2,0.036
2015 Q1,0.037
2014 Q4,0.037
2014 Q3,0.042
2014 Q2,0.044
2014 Q1,0.048
2013 Q4,0.052
2013 Q3,0.059
2013 Q2,0.068
2013 Q1,0.036
2012 Q4,0.036
2012 Q3,0.037
2012 Q2,0.037
2012 Q1,0.036
2011 Q4,0.037
2011 Q3,0.037
2011 Q2,0.037
2011 Q1,0.038
2010 Q4,0.039
2010 Q3,0.039
2010 Q2,0.039
2010 Q1,0.039
2009 Q4,0.039
2009 Q3,0.039
2009 Q2,0.039
2009 Q1,0.039
2008 Q4,0.039
2008 Q3,0.040
2008 Q2,0.040
2008 Q1,0.039
2007 Q4,0.038
2007 Q3,0.038
2007 Q2,0.038
2007 Q1,0.052
2006 Q4,0.059
2006 Q3,0.070
2006 Q2,0.086
2006 Q1,0.110
2005 Q4,0.146
2005 Q3,0.050
2005 Q2,0.051
2005 Q1,0.051
2004 Q4,0.053
2004 Q3,0.054
2004 Q2,0.054
2004 Q1,0.054
2003 Q4,0.053
2003 Q3,0.051
2003 Q2,0.050
2003 Q1,0.048
2002 Q4,0.046
2002 Q3,0.045
2002 Q2,0.044
2002 Q1,0.044
2001 Q4,0.044
2001 Q3,0.044
2001 Q2,0.044
2001 Q1,0.044
2000 Q4,0.044
2000 Q3,0.044
2000 Q2,0.044
2000 Q1,0.044
