period,infl_adj,current
2023 Q1 QTD,1044,1044
2022 Q4,1052,1044
2022 Q3,1056,1038
2022 Q2,1071,1040
2022 Q1,1071,1014
2021 Q4,1054,977
2021 Q3,1057,961
2021 Q2,1062,951
2021 Q1,1066,935
2020 Q4,1058,919
2020 Q3,1051,908
2020 Q2,1063,907
2020 Q1,1048,903
2019 Q4,1042,895
2019 Q3,1045,892
2019 Q2,1046,889
2019 Q1,1049,885
2018 Q4,1046,880
2018 Q3,1043,874
2018 Q2,1044,871
2018 Q1,1044,866
2017 Q4,1048,863
2017 Q3,1052,859
2017 Q2,1052,855
2017 Q1,1049,851
2016 Q4,1052,848
2016 Q3,1056,846
2016 Q2,1057,843
2016 Q1,1062,840
2015 Q4,1057,837
2015 Q3,1054,835
2015 Q2,1050,829
2015 Q1,1046,820
2014 Q4,1029,812
2014 Q3,1024,809
2014 Q2,1028,810
2014 Q1,1026,805
2013 Q4,1026,800
2013 Q3,1025,796
2013 Q2,1034,799
2013 Q1,1027,795
2012 Q4,1027,791
2012 Q3,1030,788
2012 Q2,1031,785
2012 Q1,1030,783
2011 Q4,1034,782
2011 Q3,1037,781
2011 Q2,1042,779
2011 Q1,1051,777
2010 Q4,1059,775
2010 Q3,1062,771
2010 Q2,1055,763
2010 Q1,1049,759
2009 Q4,1055,762
2009 Q3,1069,767
2009 Q2,1086,772
2009 Q1,1102,779
2008 Q4,1105,787
2008 Q3,1084,790
2008 Q2,1098,788
2008 Q1,1107,784
2007 Q4,1114,781
2007 Q3,1122,776
2007 Q2,1120,770
2007 Q1,1121,762
2006 Q4,1123,757
2006 Q3,1112,752
2006 Q2,1113,746
2006 Q1,1112,739
2005 Q4,1111,734
2005 Q3,1117,731
2005 Q2,1128,727
2005 Q1,1130,724
2004 Q4,1133,722
2004 Q3,1144,721
2004 Q2,1148,719
2004 Q1,1154,717
2003 Q4,1163,717
2003 Q3,1169,718
2003 Q2,1178,718
2003 Q1,1173,716
2002 Q4,1183,715
2002 Q3,1190,715
2002 Q2,1195,714
2002 Q1,1201,712
2001 Q4,1201,710
2001 Q3,1196,707
2001 Q2,1189,701
2001 Q1,1184,693
2000 Q4,1182,685
2000 Q3,1177,678
2000 Q2,1174,670
2000 Q1,1167,661
