period,current,inf
2023 Q1 QTD,1052,1052
2022 Q4,1052,1064
2022 Q3,1044,1069
2022 Q2,1065,1106
2022 Q1,1035,1101
2021 Q4,1004,1092
2021 Q3,985,1092
2021 Q2,974,1097
2021 Q1,959,1102
2020 Q4,938,1089
2020 Q3,927,1082
2020 Q2,926,1094
2020 Q1,920,1077
2019 Q4,911,1070
2019 Q3,909,1074
2019 Q2,907,1077
2019 Q1,903,1080
2018 Q4,898,1076
2018 Q3,894,1076
2018 Q2,891,1076
2018 Q1,886,1077
2017 Q4,882,1081
2017 Q3,879,1085
2017 Q2,875,1085
2017 Q1,870,1081
2016 Q4,867,1085
2016 Q3,864,1088
2016 Q2,861,1089
2016 Q1,860,1095
2015 Q4,857,1091
2015 Q3,856,1090
2015 Q2,848,1083
2015 Q1,837,1076
2014 Q4,826,1056
2014 Q3,823,1050
2014 Q2,825,1055
2014 Q1,819,1053
2013 Q4,813,1052
2013 Q3,811,1053
2013 Q2,814,1062
2013 Q1,811,1057
2012 Q4,807,1056
2012 Q3,804,1059
2012 Q2,801,1060
2012 Q1,799,1060
2011 Q4,797,1064
2011 Q3,796,1066
2011 Q2,794,1071
2011 Q1,792,1081
2010 Q4,790,1089
2010 Q3,786,1092
2010 Q2,778,1085
2010 Q1,774,1078
2009 Q4,777,1084
2009 Q3,782,1099
2009 Q2,787,1117
2009 Q1,795,1133
2008 Q4,802,1136
2008 Q3,805,1115
2008 Q2,804,1129
2008 Q1,800,1138
2007 Q4,796,1146
2007 Q3,792,1153
2007 Q2,786,1151
2007 Q1,778,1153
2006 Q4,772,1155
2006 Q3,767,1144
2006 Q2,760,1144
2006 Q1,753,1144
2005 Q4,748,1142
2005 Q3,745,1148
2005 Q2,742,1160
2005 Q1,738,1162
2004 Q4,737,1165
2004 Q3,736,1177
2004 Q2,734,1181
2004 Q1,731,1186
2003 Q4,731,1196
2003 Q3,732,1202
2003 Q2,732,1211
2003 Q1,730,1206
2002 Q4,729,1216
2002 Q3,729,1223
2002 Q2,728,1229
2002 Q1,726,1235
2001 Q4,724,1235
2001 Q3,721,1230
2001 Q2,715,1223
2001 Q1,707,1217
2000 Q4,699,1215
2000 Q3,692,1211
2000 Q2,683,1207
2000 Q1,674,1200
